benchmark,language,input_size,trial,kernel_time_ms,h2d_time_ms,d2h_time_ms,gflops,bandwidth_gbps
cuda_matmul_tiled,cpp_cuda,1024,0,1.1282,0.8269,0.5087,1903.47,0.00
cuda_matmul_tiled,cpp_cuda,1024,1,1.1250,0.8246,0.4903,1908.83,0.00
cuda_matmul_tiled,cpp_cuda,1024,2,1.1421,0.9638,0.4795,1880.33,0.00
cuda_matmul_tiled,cpp_cuda,1024,3,1.1353,0.8525,0.5121,1891.56,0.00
cuda_matmul_tiled,cpp_cuda,1024,4,1.1402,0.9896,0.5033,1883.49,0.00
cuda_matmul_tiled,cpp_cuda,1024,5,1.1259,1.1971,0.4752,1907.42,0.00
cuda_matmul_tiled,cpp_cuda,1024,6,1.1404,1.2507,0.4858,1883.12,0.00
cuda_matmul_tiled,cpp_cuda,1024,7,1.1199,1.2441,0.5826,1917.62,0.00
cuda_matmul_tiled,cpp_cuda,1024,8,1.1348,1.3137,0.6392,1892.31,0.00
cuda_matmul_tiled,cpp_cuda,1024,9,1.1568,0.9398,0.6224,1856.35,0.00
cuda_matmul_tiled,cpp_cuda,1024,10,1.3081,0.8622,1.0394,1641.69,0.00
cuda_matmul_tiled,cpp_cuda,1024,11,1.3013,1.0048,0.5947,1650.29,0.00
cuda_matmul_tiled,cpp_cuda,1024,12,1.5060,0.8387,0.7016,1426.00,0.00
cuda_matmul_tiled,cpp_cuda,1024,13,1.0819,0.7877,0.8963,1984.94,0.00
cuda_matmul_tiled,cpp_cuda,1024,14,1.1268,0.8450,0.5577,1905.80,0.00
cuda_matmul_tiled,cpp_cuda,1024,15,1.1041,0.8171,0.4973,1945.02,0.00
cuda_matmul_tiled,cpp_cuda,1024,16,1.1247,0.9821,0.5119,1909.32,0.00
cuda_matmul_tiled,cpp_cuda,1024,17,1.1060,1.1934,0.4744,1941.58,0.00
cuda_matmul_tiled,cpp_cuda,1024,18,1.1187,1.0906,0.5192,1919.70,0.00
cuda_matmul_tiled,cpp_cuda,1024,19,1.1424,0.9322,0.4648,1879.85,0.00
cuda_matmul_tiled,cpp_cuda,1024,20,1.1090,1.3419,0.5584,1936.48,0.00
cuda_matmul_tiled,cpp_cuda,1024,21,1.1305,1.3441,0.5960,1899.59,0.00
cuda_matmul_tiled,cpp_cuda,1024,22,1.3746,0.9420,0.7607,1562.23,0.00
cuda_matmul_tiled,cpp_cuda,1024,23,1.2896,0.8859,0.6208,1665.19,0.00
cuda_matmul_tiled,cpp_cuda,1024,24,1.0775,0.7955,0.8952,1993.08,0.00
cuda_matmul_tiled,cpp_cuda,1024,25,1.0837,0.7933,0.9167,1981.54,0.00
cuda_matmul_tiled,cpp_cuda,1024,26,1.1262,0.8152,0.5687,1906.88,0.00
cuda_matmul_tiled,cpp_cuda,1024,27,1.0948,0.9113,0.5044,1961.56,0.00
cuda_matmul_tiled,cpp_cuda,1024,28,1.1170,0.9302,0.4767,1922.61,0.00
cuda_matmul_tiled,cpp_cuda,1024,29,1.1253,1.2093,0.4801,1908.40,0.00
cuda_matmul_tiled,cpp_cuda,2048,0,8.6313,3.9226,2.4405,1990.42,0.00
cuda_matmul_tiled,cpp_cuda,2048,1,8.7331,3.5990,2.1535,1967.22,0.00
cuda_matmul_tiled,cpp_cuda,2048,2,8.7128,3.5657,2.3624,1971.80,0.00
cuda_matmul_tiled,cpp_cuda,2048,3,8.7502,3.9082,2.1379,1963.37,0.00
cuda_matmul_tiled,cpp_cuda,2048,4,8.7520,3.4948,2.0476,1962.96,0.00
