benchmark,language,input_size,trial,kernel_time_ms,h2d_time_ms,d2h_time_ms,gflops,bandwidth_gbps
cuda_matmul_tiled,rust_cuda,1024,0,1.0913,0,0,1967.77,0
cuda_matmul_tiled,rust_cuda,1024,1,1.2983,0,0,1654.07,0
cuda_matmul_tiled,rust_cuda,1024,2,1.0936,0,0,1963.74,0
cuda_matmul_tiled,rust_cuda,1024,3,1.0812,0,0,1986.20,0
cuda_matmul_tiled,rust_cuda,1024,4,1.1363,0,0,1889.81,0
cuda_matmul_tiled,rust_cuda,1024,5,1.0938,0,0,1963.33,0
cuda_matmul_tiled,rust_cuda,1024,6,1.0765,0,0,1994.81,0
cuda_matmul_tiled,rust_cuda,1024,7,1.1299,0,0,1900.53,0
cuda_matmul_tiled,rust_cuda,1024,8,1.0949,0,0,1961.26,0
cuda_matmul_tiled,rust_cuda,1024,9,1.3253,0,0,1620.39,0
cuda_matmul_tiled,rust_cuda,1024,10,1.1146,0,0,1926.62,0
cuda_matmul_tiled,rust_cuda,1024,11,1.0820,0,0,1984.71,0
cuda_matmul_tiled,rust_cuda,1024,12,1.2845,0,0,1671.88,0
cuda_matmul_tiled,rust_cuda,1024,13,1.1156,0,0,1925.01,0
cuda_matmul_tiled,rust_cuda,1024,14,1.0827,0,0,1983.54,0
cuda_matmul_tiled,rust_cuda,1024,15,1.4441,0,0,1487.11,0
cuda_matmul_tiled,rust_cuda,1024,16,1.0974,0,0,1956.82,0
cuda_matmul_tiled,rust_cuda,1024,17,1.0969,0,0,1957.86,0
cuda_matmul_tiled,rust_cuda,1024,18,1.1570,0,0,1856.09,0
cuda_matmul_tiled,rust_cuda,1024,19,1.0976,0,0,1956.47,0
cuda_matmul_tiled,rust_cuda,1024,20,1.2881,0,0,1667.21,0
cuda_matmul_tiled,rust_cuda,1024,21,1.1113,0,0,1932.38,0
cuda_matmul_tiled,rust_cuda,1024,22,1.0864,0,0,1976.71,0
cuda_matmul_tiled,rust_cuda,1024,23,1.1290,0,0,1902.06,0
cuda_matmul_tiled,rust_cuda,1024,24,1.0936,0,0,1963.62,0
cuda_matmul_tiled,rust_cuda,1024,25,1.0826,0,0,1983.61,0
cuda_matmul_tiled,rust_cuda,1024,26,1.1266,0,0,1906.13,0
cuda_matmul_tiled,rust_cuda,1024,27,1.0782,0,0,1991.68,0
cuda_matmul_tiled,rust_cuda,1024,28,1.0856,0,0,1978.20,0
cuda_matmul_tiled,rust_cuda,1024,29,1.1387,0,0,1885.97,0
cuda_matmul_tiled,rust_cuda,2048,0,8.7031,0,0,1974.00,0
cuda_matmul_tiled,rust_cuda,2048,1,8.4868,0,0,2024.30,0
cuda_matmul_tiled,rust_cuda,2048,2,8.4929,0,0,2022.86,0
cuda_matmul_tiled,rust_cuda,2048,3,8.6704,0,0,1981.43,0
cuda_matmul_tiled,rust_cuda,2048,4,8.4961,0,0,2022.08,0
cuda_matmul_tiled,rust_cuda,2048,5,8.7538,0,0,1962.55,0
cuda_matmul_tiled,rust_cuda,2048,6,8.5281,0,0,2014.50,0
cuda_matmul_tiled,rust_cuda,2048,7,8.5422,0,0,2011.19,0
cuda_matmul_tiled,rust_cuda,2048,8,8.7345,0,0,1966.91,0
cuda_matmul_tiled,rust_cuda,2048,9,8.5240,0,0,2015.46,0
cuda_matmul_tiled,rust_cuda,2048,10,8.5694,0,0,2004.80,0
cuda_matmul_tiled,rust_cuda,2048,11,8.7449,0,0,1964.56,0
cuda_matmul_tiled,rust_cuda,2048,12,8.5240,0,0,2015.48,0
cuda_matmul_tiled,rust_cuda,2048,13,8.7404,0,0,1965.56,0
cuda_matmul_tiled,rust_cuda,2048,14,8.5195,0,0,2016.54,0
cuda_matmul_tiled,rust_cuda,2048,15,8.5432,0,0,2010.95,0
cuda_matmul_tiled,rust_cuda,2048,16,8.7368,0,0,1966.38,0
cuda_matmul_tiled,rust_cuda,2048,17,8.5198,0,0,2016.47,0
cuda_matmul_tiled,rust_cuda,2048,18,8.5678,0,0,2005.17,0
cuda_matmul_tiled,rust_cuda,2048,19,8.6968,0,0,1975.42,0
cuda_matmul_tiled,rust_cuda,2048,20,8.4828,0,0,2025.26,0
cuda_matmul_tiled,rust_cuda,2048,21,8.7061,0,0,1973.31,0
cuda_matmul_tiled,rust_cuda,2048,22,8.5250,0,0,2015.24,0
cuda_matmul_tiled,rust_cuda,2048,23,10.4997,0,0,1636.23,0
cuda_matmul_tiled,rust_cuda,2048,24,10.4061,0,0,1650.95,0
cuda_matmul_tiled,rust_cuda,2048,25,8.5725,0,0,2004.08,0
cuda_matmul_tiled,rust_cuda,2048,26,8.7271,0,0,1968.56,0
cuda_matmul_tiled,rust_cuda,2048,27,8.4972,0,0,2021.82,0
cuda_matmul_tiled,rust_cuda,2048,28,8.5175,0,0,2017.01,0
cuda_matmul_tiled,rust_cuda,2048,29,8.6937,0,0,1976.14,0
cuda_matmul_tiled,rust_cuda,4096,0,76.7573,0,0,1790.57,0
cuda_matmul_tiled,rust_cuda,4096,1,77.0440,0,0,1783.90,0
cuda_matmul_tiled,rust_cuda,4096,2,77.0747,0,0,1783.19,0
cuda_matmul_tiled,rust_cuda,4096,3,77.0805,0,0,1783.06,0
cuda_matmul_tiled,rust_cuda,4096,4,77.0461,0,0,1783.85,0
cuda_matmul_tiled,rust_cuda,4096,5,77.8734,0,0,1764.90,0
cuda_matmul_tiled,rust_cuda,4096,6,76.9626,0,0,1785.79,0
cuda_matmul_tiled,rust_cuda,4096,7,76.8175,0,0,1789.16,0
cuda_matmul_tiled,rust_cuda,4096,8,76.8011,0,0,1789.54,0
cuda_matmul_tiled,rust_cuda,4096,9,76.8469,0,0,1788.48,0
cuda_matmul_tiled,rust_cuda,4096,10,76.8532,0,0,1788.33,0
cuda_matmul_tiled,rust_cuda,4096,11,76.8471,0,0,1788.47,0
cuda_matmul_tiled,rust_cuda,4096,12,76.8443,0,0,1788.54,0
cuda_matmul_tiled,rust_cuda,4096,13,76.9195,0,0,1786.79,0
cuda_matmul_tiled,rust_cuda,4096,14,76.8989,0,0,1787.27,0
cuda_matmul_tiled,rust_cuda,4096,15,77.0910,0,0,1782.81,0
cuda_matmul_tiled,rust_cuda,4096,16,77.1019,0,0,1782.56,0
cuda_matmul_tiled,rust_cuda,4096,17,77.8018,0,0,1766.53,0
cuda_matmul_tiled,rust_cuda,4096,18,77.2353,0,0,1779.48,0
cuda_matmul_tiled,rust_cuda,4096,19,76.8473,0,0,1788.47,0
cuda_matmul_tiled,rust_cuda,4096,20,76.8671,0,0,1788.01,0
cuda_matmul_tiled,rust_cuda,4096,21,76.8067,0,0,1789.41,0
cuda_matmul_tiled,rust_cuda,4096,22,76.8518,0,0,1788.36,0
cuda_matmul_tiled,rust_cuda,4096,23,76.8206,0,0,1789.09,0
cuda_matmul_tiled,rust_cuda,4096,24,76.8390,0,0,1788.66,0
cuda_matmul_tiled,rust_cuda,4096,25,77.1342,0,0,1781.82,0
cuda_matmul_tiled,rust_cuda,4096,26,77.0702,0,0,1783.29,0
cuda_matmul_tiled,rust_cuda,4096,27,77.2627,0,0,1778.85,0
cuda_matmul_tiled,rust_cuda,4096,28,77.4715,0,0,1774.06,0
cuda_matmul_tiled,rust_cuda,4096,29,77.4297,0,0,1775.02,0
cuda_softmax,rust_cuda,64x16384,0,0.1554,0,0,0,53.97
cuda_softmax,rust_cuda,64x16384,1,0.1461,0,0,0,57.41
cuda_softmax,rust_cuda,64x16384,2,0.1068,0,0,0,78.55
cuda_softmax,rust_cuda,64x16384,3,0.0970,0,0,0,86.47
cuda_softmax,rust_cuda,64x16384,4,0.1117,0,0,0,75.08
cuda_softmax,rust_cuda,64x16384,5,0.1306,0,0,0,64.24
cuda_softmax,rust_cuda,64x16384,6,0.0994,0,0,0,84.40
cuda_softmax,rust_cuda,64x16384,7,0.0967,0,0,0,86.74
cuda_softmax,rust_cuda,64x16384,8,0.1684,0,0,0,49.80
cuda_softmax,rust_cuda,64x16384,9,0.0952,0,0,0,88.14
cuda_softmax,rust_cuda,64x16384,10,0.0995,0,0,0,84.31
cuda_softmax,rust_cuda,64x16384,11,0.1041,0,0,0,80.58
cuda_softmax,rust_cuda,64x16384,12,0.1198,0,0,0,70.01
cuda_softmax,rust_cuda,64x16384,13,0.0949,0,0,0,88.44
cuda_softmax,rust_cuda,64x16384,14,0.1210,0,0,0,69.33
cuda_softmax,rust_cuda,64x16384,15,0.0988,0,0,0,84.95
cuda_softmax,rust_cuda,64x16384,16,0.1219,0,0,0,68.82
cuda_softmax,rust_cuda,64x16384,17,0.1171,0,0,0,71.66
cuda_softmax,rust_cuda,64x16384,18,0.0695,0,0,0,120.63
cuda_softmax,rust_cuda,64x16384,19,0.0925,0,0,0,90.72
cuda_softmax,rust_cuda,64x16384,20,0.0902,0,0,0,93.04
cuda_softmax,rust_cuda,64x16384,21,0.1694,0,0,0,49.51
cuda_softmax,rust_cuda,64x16384,22,0.1268,0,0,0,66.15
cuda_softmax,rust_cuda,64x16384,23,0.0652,0,0,0,128.74
cuda_softmax,rust_cuda,64x16384,24,0.0506,0,0,0,165.79
cuda_softmax,rust_cuda,64x16384,25,0.1356,0,0,0,61.85
